formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
Fe(OH)2,Fe(HO)2,,,,2.067e-05,,,,,,,,
Fe(OH)3,Fe(HO)3,,,,1.077e-09,,,,,,,,
FeBr2,FeBr2,,,,1.203e+02,,,,,,,,1.841e+02
FeCO3,FeCO3,,,,2.300e-03,,,,,,,,
FeCl2,FeCl2,4.970e+01,,,6.502e+01,,,,,,,,9.493e+01
FeCl3,FeCl3,7.452e+01,8.149e+01,9.194e+01,9.120e+01,1.066e+02,2.968e+02,3.292e+02,5.494e+02,5.369e+02,5.369e+02,5.410e+02,5.536e+02
FeF2,FeF2,,,,7.871e-02,,,,,,,,
FeF3,FeF3,,,,5.920e+00,,,,,,,,
FePO4(H2O)2,FeP(H2O3)2,,,,1.454e-03,,,,,,,,
FeSO4,FeSO4,1.561e+01,2.048e+01,2.626e+01,2.953e+01,3.298e+01,4.045e+01,4.881e+01,5.504e+01,5.060e+01,4.368e+01,3.717e+01,3.158e+01
Ga(OH)3,Ga(HO)3,,,,8.701e-09,,,,,,,,
Gd(NO3)3,Gd(NO3)3,1.288e+02,1.364e+02,1.451e+02,1.506e+02,1.564e+02,1.695e+02,1.874e+02,2.115e+02,2.509e+02,,,
H3BO3,B(HO)3,2.680e+00,3.700e+00,5.010e+00,5.800e+00,6.690e+00,8.810e+00,1.148e+01,1.481e+01,1.891e+01,2.392e+01,3.004e+01,3.755e+01
HIO3,HIO3,2.766e+02,2.861e+02,2.997e+02,3.078e+02,3.172e+02,3.386e+02,3.642e+02,3.946e+02,4.299e+02,4.708e+02,5.180e+02,5.730e+02
Hg(CN)2,Hg(CN)2,7.030e+00,8.500e+00,1.029e+01,1.136e+01,1.249e+01,1.507e+01,1.834e+01,2.225e+01,2.690e+01,3.263e+01,3.947e+01,4.771e+01
Hg(SCN)2,HgC2(SN)2,,,,7.000e-02,,,,,,,,
Hg2(ClO4)2,HgClO4,2.817e+02,,,3.951e+02,,,,,,,,5.803e+02
Hg2(SCN)2,HgCSN,,,,4.627e-09,,,,,,,,
Hg2Br2,HgBr,,,,2.244e-10,,,,,,,,
Hg2C2O4,HgCO2,,,,8.619e-04,,,,,,,,
Hg2CO3,Hg2CO3,,,,1.786e-03,,,,,,,,
Hg2Cl2,HgCl,,,,0.000e+00,,,,,,,,
Hg2F2,HgF,,,,3.866e-02,,,,,,,,
Hg2I2,HgI,,,,2.362e-13,,,,,,,,
Hg2SO4,Hg2SO4,4.000e-02,4.000e-02,5.000e-02,5.000e-02,5.000e-02,6.000e-02,7.000e-02,7.000e-02,8.000e-02,8.000e-02,9.000e-02,9.000e-02
HgBr2,HgBr2,2.600e-01,3.700e-01,5.200e-01,6.100e-01,7.300e-01,9.700e-01,1.280e+00,1.660e+00,2.120e+00,2.680e+00,3.340e+00,4.110e+00
HgCl2,HgCl2,4.430e+00,5.320e+00,6.580e+00,7.310e+00,8.250e+00,1.053e+01,1.366e+01,1.790e+01,2.370e+01,3.168e+01,4.265e+01,5.778e+01
HgI2,HgI2,,,0.000e+00,1.000e-02,1.000e-02,1.000e-02,2.000e-02,,,,,
Ho(NO3)3,Ho(NO3)3,,,,1.762e+02,,,,,,,,
K2CO3,K2CO3,1.053e+02,1.070e+02,1.096e+02,1.114e+02,1.132e+02,1.174e+02,1.217e+02,1.273e+02,1.336e+02,1.404e+02,1.475e+02,1.564e+02
K2Cr2O7,K2Cr2O7,4.490e+00,7.670e+00,1.223e+01,1.507e+01,1.834e+01,2.626e+01,3.569e+01,4.641e+01,5.848e+01,7.094e+01,8.349e+01,9.569e+01
K2CrO4,K2CrO4,5.898e+01,6.155e+01,6.367e+01,6.502e+01,6.611e+01,6.807e+01,7.036e+01,7.212e+01,7.422e+01,7.606e+01,7.794e+01,7.953e+01
K2HAsO4,K2AsHO4,9.417e+01,,,1.747e+02,,,,,,,,3.951e+02
K2HPO4,K2PHO4,1.326e+02,1.445e+02,1.597e+02,1.681e+02,1.786e+02,2.096e+02,,2.663e+02,,,,
K2MoO4,K2MoO4,,,,1.833e+02,,,,,,,1.985e+02,
K2PtCl6,K2PtCl6,,,,5.988e-01,,,,,,,,
K2S2O3,K2S2O3,9.608e+01,,,1.652e+02,,,,,,,3.115e+02,
K2S2O5,K2S2O5,2.837e+01,3.643e+01,4.514e+01,4.948e+01,5.432e+01,6.393e+01,7.422e+01,8.519e+01,9.646e+01,1.083e+02,1.203e+02,
K2SO3,K2SO3,1.053e+02,1.057e+02,1.061e+02,1.064e+02,1.067e+02,1.073e+02,1.080e+02,1.088e+02,1.097e+02,1.107e+02,1.118e+02,1.130e+02
K2SO4,K2SO4,7.650e+00,9.240e+00,1.105e+01,1.198e+01,1.287e+01,1.481e+01,1.655e+01,1.834e+01,2.005e+01,2.151e+01,2.285e+01,2.392e+01
K2SeO3,K2SeO3,2.165e+02,,,2.175e+02,,,,,,,,2.175e+02
K2SeO4,K2SeO4,1.114e+02,1.125e+02,1.135e+02,1.141e+02,1.147e+02,1.160e+02,1.173e+02,1.188e+02,1.203e+02,1.219e+02,1.235e+02,1.252e+02
K3AsO4,K3AsO4,1.062e+02,,,1.252e+02,,,,,,,,2.704e+02
K3Fe(CN)6,K3Fe(CN)6,3.141e+01,3.812e+01,4.514e+01,4.881e+01,5.221e+01,5.924e+01,6.556e+01,7.153e+01,7.699e+01,8.182e+01,8.553e+01,8.868e+01
K3PO4,K3PO4,7.953e+01,,,1.058e+02,,,,,,,,
K4Fe(CN)6,K4Fe(CN)6,1.429e+01,2.092e+01,2.821e+01,3.141e+01,3.441e+01,4.124e+01,4.815e+01,5.504e+01,6.181e+01,6.835e+01,7.065e+01,7.575e+01
KBF4,KBF4,2.800e-01,3.400e-01,4.500e-01,5.500e-01,7.600e-01,1.400e+00,2.130e+00,2.900e+00,3.710e+00,4.540e+00,5.400e+00,6.270e+00
KBr,KBr,5.385e+01,5.949e+01,6.502e+01,6.779e+01,7.065e+01,7.606e+01,8.116e+01,8.587e+01,9.084e+01,9.531e+01,9.920e+01,1.032e+02
KBrO3,KBrO3,3.060e+00,4.690e+00,6.860e+00,8.170e+00,9.640e+00,1.308e+01,1.725e+01,2.216e+01,2.786e+01,3.435e+01,4.168e+01,4.988e+01
KC2H3O2,KH3(CO)2,2.165e+02,2.366e+02,2.583e+02,2.693e+02,2.802e+02,3.013e+02,3.214e+02,3.407e+02,3.591e+02,3.771e+02,3.951e+02,4.141e+02
KCl,KCl,2.778e+01,3.091e+01,3.403e+01,3.554e+01,3.706e+01,4.004e+01,4.294e+01,4.577e+01,4.850e+01,5.119e+01,5.382e+01,5.637e+01
KClO3,KClO3,3.120e+00,4.900e+00,7.230e+00,8.610e+00,1.014e+01,1.371e+01,1.801e+01,2.312e+01,2.928e+01,3.676e+01,4.605e+01,5.785e+01
KClO4,KClO4,7.000e-01,1.110e+00,1.700e+00,2.080e+00,2.530e+00,3.670e+00,5.200e+00,7.230e+00,9.880e+00,1.326e+01,1.756e+01,2.296e+01
